Environment,Seed,Step,Reward,Runtime_Hours,Runtime_seconds
AcrobotSwingup,43,60,44.97206116,0.045578115,164.0812148
CartpoleSwingupSparse,43,0,0,0.051466028,185.2777025
CartpoleSwingupSparse,43,6,0,0.051466028,185.2777025
CartpoleSwingupSparse,43,13,0,0.051466028,185.2777025
CartpoleSwingupSparse,43,20,0.234375,0.051466028,185.2777025
CartpoleSwingupSparse,43,26,8.828125,0.051466028,185.2777025
CartpoleSwingupSparse,43,33,31.609375,0.051466028,185.2777025
CartpoleSwingupSparse,43,40,72.8828125,0.051466028,185.2777025
CartpoleSwingupSparse,43,46,23.3359375,0.051466028,185.2777025
CartpoleSwingupSparse,43,53,7.6875,0.051466028,185.2777025
CartpoleSwingupSparse,43,60,7.3359375,0.051466028,185.2777025
AcrobotSwingupSparse,43,0,0,0.048109925,173.1957306
AcrobotSwingupSparse,43,6,0.453125,0.048109925,173.1957306
AcrobotSwingupSparse,43,13,0.34375,0.048109925,173.1957306
AcrobotSwingupSparse,43,20,0.140625,0.048109925,173.1957306
AcrobotSwingupSparse,43,26,0.2109375,0.048109925,173.1957306
AcrobotSwingupSparse,43,33,0,0.048109925,173.1957306
AcrobotSwingupSparse,43,40,0.28125,0.048109925,173.1957306
AcrobotSwingupSparse,43,46,0,0.048109925,173.1957306
AcrobotSwingupSparse,43,53,0,0.048109925,173.1957306
AcrobotSwingupSparse,43,60,0.84375,0.048109925,173.1957306
CheetahRun,43,0,3.853992939,0.091143389,328.1162003
CheetahRun,43,6,244.6243591,0.091143389,328.1162003
CheetahRun,43,13,546.7710571,0.091143389,328.1162003
CheetahRun,43,20,707.7488403,0.091143389,328.1162003
CheetahRun,43,26,722.1082764,0.091143389,328.1162003
CheetahRun,43,33,787.8668213,0.091143389,328.1162003
CheetahRun,43,40,836.2566528,0.091143389,328.1162003
CheetahRun,43,46,837.385498,0.091143389,328.1162003
CheetahRun,43,53,867.2487793,0.091143389,328.1162003
CheetahRun,43,60,877.5632324,0.091143389,328.1162003
FishSwim,43,0,68.06861877,0.138136461,497.2912611
FishSwim,43,6,116.9352112,0.138136461,497.2912611
FishSwim,43,13,212.0898743,0.138136461,497.2912611
FishSwim,43,20,382.3024292,0.138136461,497.2912611
FishSwim,43,26,376.5545654,0.138136461,497.2912611
FishSwim,43,33,466.0687561,0.138136461,497.2912611
FishSwim,43,40,546.8132935,0.138136461,497.2912611
FishSwim,43,46,547.3425293,0.138136461,497.2912611
FishSwim,43,53,554.6620483,0.138136461,497.2912611
FishSwim,43,60,558.8939209,0.138136461,497.2912611
HopperHop,43,0,0.05672358,0.147042674,529.3536258
HopperHop,43,6,0.005357649,0.147042674,529.3536258
HopperHop,43,13,0.003995168,0.147042674,529.3536258
HopperHop,43,20,0.004861183,0.147042674,529.3536258
HopperHop,43,26,0.001586065,0.147042674,529.3536258
HopperHop,43,33,0.008785898,0.147042674,529.3536258
HopperHop,43,40,0.003237831,0.147042674,529.3536258
HopperHop,43,46,0.003776878,0.147042674,529.3536258
HopperHop,43,53,0.005787815,0.147042674,529.3536258
HopperHop,43,60,0.011005383,0.147042674,529.3536258
HopperStand,43,0,3.045091629,0.146758497,528.3305874
HopperStand,43,6,5.644569397,0.146758497,528.3305874
HopperStand,43,13,4.660475254,0.146758497,528.3305874
HopperStand,43,20,52.68888092,0.146758497,528.3305874
